current Cycle: ,0
O,F,F,/,U,N,P,L,U,G,G,E,D
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,4,2,.,8,8,7,5,3,0
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.34,TLEDR2: 2.1,TLEDR1: 2.04
CHG: 4.2,BLEDR2: 2.03,BLEDR1: 2.02,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.54,TLEDR2: 2.23,TLEDR1: 2.23
CHG: 4.2,BLEDR2: 2.06,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.69,TLEDR2: 2.19,TLEDR1: 2.2
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 4.2,VBAT: 4.15,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.15,TLEDR2: 1.37,TLEDR1: 1.37
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.04,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.2,PG: 0.0,PWM: 2.89,TLEDR2: 2.13,TLEDR1: 2.13
CHG: 4.2,BLEDR2: 1.88,BLEDR1: 1.04,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 3.11,TLEDR2: 2.2,TLEDR1: 2.18
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 2.1,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 2.15,TLEDR2: 1.37,TLEDR1: 2.35
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.03,TLEDR2: 2.1,TLEDR1: 2.09
CHG: 4.2,BLEDR2: 2.07,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.5,TLEDR2: 2.26,TLEDR1: 2.28
O,N,/,P,L,U,G,G,E,D,I,N
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,5,:,3,2,.,9,2,3,9,0,5
CHG: 4.2,BLEDR2: 2.03,BLEDR1: 2.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 3.09,TLEDR2: 2.13,TLEDR1: 2.1
B,R,E,A,T,H,I,N,G,/,P,L,U,G,G,E,D,I,N
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,5,:,3,6,.,9,3,6,5,4,0
CHG: 4.21,BLEDR2: 2.12,BLEDR1: 2.12,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.54,TLEDR2: 2.18,TLEDR1: 2.13
CHG: 4.2,BLEDR2: 2.05,BLEDR1: 2.04,REAR_LEDS: 0.0,VBAT: 4.19,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.37,TLEDR2: 2.19,TLEDR1: 2.19
CHG: 4.2,BLEDR2: 2.13,BLEDR1: 2.13,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.94,TLEDR2: 2.29,TLEDR1: 2.29
